,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,hpl,year2,Good_seller
0,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,59.294871794871796,4056196,0
1,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5,69.10547396528705,4056196,0
2,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5,64.4699140401146,4040100,0
3,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5,67.9506933744222,4028049,0
4,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,68.38763575605681,4068289,0
5,2007,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5,54.19415645617342,4028049,0
6,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,46.482412060301506,4004001,0
7,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5,49.19354838709677,4044121,0
8,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5,48.67762687634024,4052169,0
9,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,74.2299794661191,4056196,0
10,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,60.422960725075534,4020025,0
11,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,59.21474358974359,4036081,0
12,2007,80000,Petrol,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4028049,0
13,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,63.14797360980208,4036081,0
14,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5,68.44741235392321,4064256,0
15,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5,64.4699140401146,4048144,0
16,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4008004,0
17,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,63.560171919770774,4064256,0
18,2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5,43.87405886379192,4044121,0
19,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5,65.82109479305741,4068289,0
20,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,59.294871794871796,4060225,0
21,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5,71.15384615384615,4048144,0
22,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,69.42355889724311,4064256,0
23,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,59.42211055276381,4068289,0
24,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7,59.13461538461538,4052169,0
25,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5,63.14797360980208,4036081,0
26,2018,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,42.96482412060302,4072324,0
27,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4068289,0
28,2003,50000,Petrol,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4012009,0
29,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5,43.969849246231156,4048144,0
30,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4068289,0
31,2019,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4,50.62814070351759,4076361,0
32,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5,67.23446893787575,4076361,0
33,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,76.24135763670648,4076361,0
34,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5,55.926544240400666,4064256,0
35,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7,63.345571363010556,4044121,0
36,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,46.482412060301506,4048144,0
37,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,78.3567134268537,4072324,0
38,2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,77.68871075484302,4052169,0
39,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4072324,0
40,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,67.18436873747495,4072324,0
41,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7,40.0962309542903,4052169,0
42,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5,56.322911805879606,4056196,0
43,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5,65.8411214953271,4060225,0
44,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5,65.82109479305741,4060225,0
